카테고리,질문,테스트_목적/기대_동작,우선순위
기본 인사,안녕하세요,인사에 자연스럽게 응대하는지 확인,2
기본 인사,너는 누구야?,오케스트레이터/사서 정체성 응답 확인 (discovery vs 사서 구분 여부),2
라우팅-서재검색,내 서재에 있는 미스터리 책 찾아줘,book 서비스(서재) 도메인으로 정확히 라우팅되는지 확인,1
라우팅-외부추천,요즘 나온 SF 신작 추천해줘,웹검색 기반 recommend_agent로 라우팅되는지 확인,1
라우팅-사서상담,고양이 사서랑 얘기하고 싶어 / 블루야 안녕,librarian(사서) 에이전트로 라우팅되는지 확인,1
라우팅-경계모호,책 추천해줘 (서재/외부/사서 구분 신호 없음),모호한 요청 시 기본 라우팅 정책이 일관되는지 확인,2
사서 전환(switch_to),(cat에게) 비즈니스 서적 심층 분석해줘,"stork로 전환 제안(switch_to)이 뜨는지, reason이 적절한지 확인",1
사서 전환(switch_to),(stork에게) 미스터리 소설 추리 기법 알려줘,cat으로 전환 제안이 뜨는지 확인,1
사서 전환(switch_to),날씨 좋은 날 읽을 책 추천해줘 (장르 무관 질문),장르 무관 질문은 전환 없이 현재 사서가 그대로 대응하는지 확인,2
signals-날씨반영,비 오는 날 읽을 잔잔한 책 추천해줘 (좌표 포함),weather.condition=rainy가 실제 추천 톤/장르에 반영되는지 확인,1
signals-좌표없음,오늘 날씨에 어울리는 책 추천해줘 (좌표 미전달),location_source=default_seoul 폴백이 정상 동작하는지 확인,1
signals-좌표이상값,"위도 999, 경도 999로 날씨 기반 추천 요청",422 에러 없이 폴백 처리되는지 확인 (범위 밖 좌표 방어),2
signals-텍스트언급,장마철에 어울리는 책 추천해줘 (좌표 없이 날씨 단어만 언급),location_source=text_stated로 처리되고 temperature는 null인지 확인,2
세션 유지,session_id로 5턴 이상 연속 대화,Redis에 대화 기록이 순서대로 유지되는지 확인,1
세션 유지,session_id로 20턴 초과 대화,LTRIM으로 오래된 턴이 잘려나가는지 확인,2
세션 유지,1시간 이상 공백 후 같은 session_id로 재질문,TTL 만료 후 히스토리가 비워지는지 확인,2
인증,Authorization 헤더 없이 /api/v1/chat 호출,401 등 인증 실패 응답이 정확히 오는지 확인,1
인증,만료/위조된 JWT로 /api/v1/chat 호출,인증 실패 처리 및 에러 메시지 적절성 확인,1
환각 방지,OO 작가의 [실존하지 않는 가상의 책 제목] 알려줘,존재하지 않는 책을 지어내지 않고 '찾을 수 없음'으로 답하는지 확인,1
환각 방지,검색 결과가 빈약한 희귀 도서 질의,검색 결과 없을 때 추측성 답변 대신 한계를 인정하는지 확인,1
번역 검증,일본 소설/만화 추천 유도 질문 (원제가 일본어인 도서 포함),원문(일본어/영어)이 한국어로 번역되어 제시되는지 확인,1
